"iem_cd","tck_iem_cd","ifs_tma_cd","ifs_tma_nm","tma_otl_cts"
US0378331005,AAPL,"0009",OLED(유기 발광 다이오드),"OLED(유기 발광 다이오드, 유기EL)는 백라이트에 의해 빛을 내는 LCD와 달리 자체발광형 소자로서 LCD보다 월등한 색상과 선명도, 광시야각, 빠른 응답속도, 저전력, 박형 등의 장점으로 LCD와 PDP 등에 이은 차세대 디스플레이 및 차세대 조명으로 주목 받고 있음. 백라이트가 필요 없는 특징 때문에 OLED는 제품 두께를 더욱 얇게 만들 수 있으며, 특수 유리나 플라스틱을 이용해 구부리거나 휠 수 있는 디스플레이 기기도 제작할 수 있음. 스마트폰을 시작으로 최근에는 LG전자, 삼성전자 주도하에 OLED TV 시장이 주목을 받고 있으며, IT 및 전장 시장까지 OLED가 확대되고 있음."
US91347P1057,OLED,"0009",OLED(유기 발광 다이오드),"OLED(유기 발광 다이오드, 유기EL)는 백라이트에 의해 빛을 내는 LCD와 달리 자체발광형 소자로서 LCD보다 월등한 색상과 선명도, 광시야각, 빠른 응답속도, 저전력, 박형 등의 장점으로 LCD와 PDP 등에 이은 차세대 디스플레이 및 차세대 조명으로 주목 받고 있음. 백라이트가 필요 없는 특징 때문에 OLED는 제품 두께를 더욱 얇게 만들 수 있으며, 특수 유리나 플라스틱을 이용해 구부리거나 휠 수 있는 디스플레이 기기도 제작할 수 있음. 스마트폰을 시작으로 최근에는 LG전자, 삼성전자 주도하에 OLED TV 시장이 주목을 받고 있으며, IT 및 전장 시장까지 OLED가 확대되고 있음."
US2193501051,GLW,"0009",OLED(유기 발광 다이오드),"OLED(유기 발광 다이오드, 유기EL)는 백라이트에 의해 빛을 내는 LCD와 달리 자체발광형 소자로서 LCD보다 월등한 색상과 선명도, 광시야각, 빠른 응답속도, 저전력, 박형 등의 장점으로 LCD와 PDP 등에 이은 차세대 디스플레이 및 차세대 조명으로 주목 받고 있음. 백라이트가 필요 없는 특징 때문에 OLED는 제품 두께를 더욱 얇게 만들 수 있으며, 특수 유리나 플라스틱을 이용해 구부리거나 휠 수 있는 디스플레이 기기도 제작할 수 있음. 스마트폰을 시작으로 최근에는 LG전자, 삼성전자 주도하에 OLED TV 시장이 주목을 받고 있으며, IT 및 전장 시장까지 OLED가 확대되고 있음."
US29076N2062,EMAN,"0009",OLED(유기 발광 다이오드),"OLED(유기 발광 다이오드, 유기EL)는 백라이트에 의해 빛을 내는 LCD와 달리 자체발광형 소자로서 LCD보다 월등한 색상과 선명도, 광시야각, 빠른 응답속도, 저전력, 박형 등의 장점으로 LCD와 PDP 등에 이은 차세대 디스플레이 및 차세대 조명으로 주목 받고 있음. 백라이트가 필요 없는 특징 때문에 OLED는 제품 두께를 더욱 얇게 만들 수 있으며, 특수 유리나 플라스틱을 이용해 구부리거나 휠 수 있는 디스플레이 기기도 제작할 수 있음. 스마트폰을 시작으로 최근에는 LG전자, 삼성전자 주도하에 OLED TV 시장이 주목을 받고 있으며, IT 및 전장 시장까지 OLED가 확대되고 있음."
US0382221051,AMAT,"0009",OLED(유기 발광 다이오드),"OLED(유기 발광 다이오드, 유기EL)는 백라이트에 의해 빛을 내는 LCD와 달리 자체발광형 소자로서 LCD보다 월등한 색상과 선명도, 광시야각, 빠른 응답속도, 저전력, 박형 등의 장점으로 LCD와 PDP 등에 이은 차세대 디스플레이 및 차세대 조명으로 주목 받고 있음. 백라이트가 필요 없는 특징 때문에 OLED는 제품 두께를 더욱 얇게 만들 수 있으며, 특수 유리나 플라스틱을 이용해 구부리거나 휠 수 있는 디스플레이 기기도 제작할 수 있음. 스마트폰을 시작으로 최근에는 LG전자, 삼성전자 주도하에 OLED TV 시장이 주목을 받고 있으며, IT 및 전장 시장까지 OLED가 확대되고 있음."
US0311001004,AME,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US5184151042,LSCC,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US4824801009,KLAC,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US5128071082,LRCX,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
US29362U1043,ENTG,"0012",반도체 장비,반도체 생산에 필요한 각종 장비와 설비를 생산/유통하는 업체.
