날짜,ACB,ACHC,ACMR,ACRS,ADEA,ADPT,ADSK,ADTN,AEP,ALEC,ALGN,ALTO,AMCX,AMRK,AMSC,AMTX,ANGI,ANIP,APEI,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVTA,AVXL,AZPN,AZTA,BANR,BCML,BCPC,BELFB,BGC,BGNE,BLDE,BLDP,BMBL,BOOM,BPOP,BRKR,BRP,BSVN,BWEN,BZ,CABA,CAKE,CALM,CBAN,CCAP,CCCS,CCEP,CCOI,CDW,CENX,CGNX,CHCO,CHKP,CHX,CINF,CLDX,CLOV,CMCO,CMPO,CMPS,COHU,COKE,CORT,CRAI,CRDO,CRSR,CRUS,CVLT,CWST,DADA,DCGO,DCOMP,DGII,DH,DLO,DRS,DUOL,DVAX,EAST,EBC,ECPG,EEFT,EOLS,EOSE,ERII,ESQ,EVLV,EXC,EXEL,EXFY,EXLS,EXPD,EXTR,FANG,FBIZ,FCBC,FFIV,FGBI,FIVN,FLEX,FLNC,FSV,FTDR,FWRD,FWRG,GEHC,GEVO,GFS,GLAD,GLBE,GLPI,GNTX,GO,GOGL,GOOD,GPRE,HA,HAFC,HEES,HHS,HIMX,HLIT,HRMY,HSIC,HWKN,IAS,ICHR,IDXX,ILPT,IMCR,INSM,IONS,IOSP,IPAR,IPGP,IRTC,ITOS,JBHT,JJSF,JKHY,KALU,KLIC,KROS,KRT,LAMR,LAZR,LAZY,LFUS,LIFE,LIND,LKQ,LNW,LOCO,LPLA,LSEA,LSTR,LSXMA,LSXMK,ME,MEDP,METC,MGEE,MLCO,MPWR,MQ,MRSN,MSEX,MULN,MXL,MYGN,NARI,NBIX,NBTB,NFE,NNOX,NVCR,NVMI,NWSA,ODP,OLED,OLLI,OMAB,ONB,PACB,PAGP,PATK,PAX,PAYO,PCT,PDFS,PEGA,PFG,PGY,PLL,PLRX,PLTK,POWI,PPC,PRDO,PRTS,PRVA,PSEC,PTC,PTVE,PUBM,PZZA,QFIN,QRTEA,QRVO,QTRX,RCM,REAL,REFI,REG,RGTI,RILY,RMBL,RMR,ROAD,ROST,ROVR,RPD,RPRX,RYAAY,SABR,SANM,SBAC,SBRA,SCHL,SCPL,SGEN,SGML,SHBI,SIMO,SIRI,SKYW,SLDP,SLNA,SMBK,SNBR,SNCY,SNDL,SOUN,SPTN,SRCE,SRCL,SSB,SSNC,STAA,STGW,STX,SUPN,SWKS,SWTX,SYM,TECH,TENB,TER,TERN,TFFP,TFIN,TFSL,TH,TMCI,TOWN,TRIP,TRMB,TRMK,TTEK,TTMI,TVTX,TWNK,TWST,UMBF,URGN,VC,VERV,VOXR,VRA,VRRM,VTYX,WB,WEN,WERN,WSC,WTFC,WTW,XEL,XPEL,XRX,YORW,Z,ZBRA,ZI,ZTEK,ZYME
2023-01-17,1.02,84.52,10.71,17.9,11.02,10.11,200.7,19.54,94.86,8.36,246.04,3.21,17.58,38.61,5.04,4.37,2.84,41.85,12.89,10.9,37.14,76.29,19.24,13.13,23.61,17.5,38.58,6.45,1.94,27.0,10.46,204.66,59.43,63.7,19.49,130.96,36.21,4.09,267.68,3.8,6.16,23.68,21.95,68.07,68.05,30.95,26.84,5.38,23.71,10.75,37.88,56.36,12.86,14.44,8.74,57.12,66.11,197.62,10.48,51.13,93.2,130.03,32.16,106.19,46.94,1.26,35.67,5.29,9.69,35.27,492.3003,22.93,122.49,15.0,14.74,85.66,56.63,78.96,13.85,8.33,20.88,37.46,12.54,16.18,13.0,82.55,11.35,5.402,17.66,52.74,105.41,8.46,1.51,21.88,41.62,2.83,43.16,16.32,9.0,34.474,108.01,19.77,145.73,35.455,33.73,147.1,23.8,73.24,23.91,21.44,138.76,23.81,100.66,16.37,63.33,2.12,59.04,10.17,24.77,52.9254,28.41,30.2,9.46,17.06,31.24,12.75,25.0,47.57,13.64,7.54,15.33,49.04,80.86,38.94,9.34,31.03,480.19,4.06,61.77,19.12,39.8,110.88,110.68,108.88,106.01,19.45,176.29,154.22,181.79,88.62,50.09,49.86,14.7085,102.97,6.44,13.08,245.94,2.29,11.45,57.89,63.01,11.29,232.79,6.42,168.39,30.7604,32.2757,2.52,228.62,9.95,72.45,13.08,401.68,6.54,5.75,81.31,67.59,37.01,18.56,68.12,108.25,43.75,37.19,8.92,92.26,89.33,19.27,51.56,127.04,53.4,71.98,18.38,12.02,12.87,65.48,14.96,5.88,8.635,30.5,35.62,89.34,0.9499,59.81,22.94,9.8,82.8,26.27,14.54,6.8,26.68,7.42,130.23,10.81,14.32,83.71,22.5,1.94,101.27,14.13,13.14,1.57,15.52,65.97,1.0,40.99,9.39,29.83,26.41,119.76,3.74,34.1,38.92,94.16,6.76,60.94,302.82,13.24,42.72,15.98,129.86,29.71,17.77,65.72,5.98,19.75,2.73,3.48,27.17,33.46,18.36,2.35,1.35,31.09,53.16,52.98,80.44,56.67,73.93,6.69,56.98,40.08,102.57,27.92,13.61,80.85,38.22,96.64,8.9,1.06,50.9,15.02,17.81,26.22,30.67,21.69,55.43,34.79,150.88,17.03,20.78,22.99,26.88,85.37,8.7,143.55,23.26,2.25,5.73,14.5,33.84,20.73,22.82,44.22,46.26,86.42,252.2,71.09,72.56,16.57,46.63,42.83,293.58,26.39,1.49,10.0
2023-01-18,0.9847,83.54,10.71,17.23,10.81,9.92,198.02,19.03,92.45,8.17,246.8,3.04,17.2,37.23,5.35,4.11,2.79,41.64,12.09,10.7,37.35,77.23,18.97,12.52,22.83,17.27,38.52,6.74,2.01,26.9,10.13,195.2,58.26,61.32,18.93,126.45,35.39,4.05,265.0,4.19,6.12,23.54,21.1,65.98,67.63,30.08,26.99,5.85,22.43,11.09,37.85,55.34,12.72,14.33,8.61,56.14,66.44,198.09,10.64,50.99,90.2,131.93,30.99,104.4,46.67,1.22,34.56,5.47,9.94,35.29,477.3005,23.49,117.77,14.96,14.7,85.89,56.75,78.86,13.06,8.4,21.25,36.2,11.59,16.16,13.11,83.7,11.17,5.422,17.32,52.68,105.84,9.99,1.37,21.58,40.71,2.92,42.23,16.3,8.98,33.558,107.29,19.17,144.1,33.46,32.91,143.7,23.12,71.62,23.62,21.53,138.94,23.7,100.54,16.42,62.08,2.02,58.1,10.14,24.42,51.5716,28.53,29.38,9.27,16.72,30.16,12.19,24.16,47.7,13.04,7.51,15.25,49.64,80.32,38.89,9.36,31.44,481.32,4.2,60.08,18.74,39.82,111.28,109.99,107.62,101.11,19.31,185.02,148.41,180.05,87.95,49.29,49.18,14.0063,101.34,6.31,12.48,245.27,2.24,11.0,56.14,61.83,10.91,229.89,6.43,166.99,29.8788,31.3154,2.36,232.26,10.06,70.95,12.91,397.85,6.48,5.64,80.78,63.1125,36.77,19.65,65.29,108.66,42.36,35.86,8.76,92.83,90.49,18.87,49.86,127.69,53.0,71.68,17.79,11.93,12.91,63.63,15.05,5.84,8.62,30.18,37.27,87.41,0.969,58.07,22.31,9.61,83.49,25.33,14.24,6.87,25.77,7.39,129.38,10.88,14.14,84.3,21.84,1.9,100.97,14.74,13.16,1.41,15.62,64.12,0.9458,40.17,7.53,29.7,26.74,117.38,3.53,32.96,38.5,91.73,6.79,59.58,292.48,13.08,41.71,16.27,130.49,31.58,17.35,65.26,5.84,19.48,2.91,3.39,26.94,32.99,18.28,2.29,1.25,31.02,51.48,52.67,76.25,55.95,70.71,6.67,58.71,40.24,101.8,28.43,13.78,79.99,38.26,95.91,8.37,0.99,47.75,14.77,17.74,25.74,30.1,21.68,54.36,33.28,148.54,16.84,21.0,22.3,27.43,82.66,8.29,142.34,22.13,2.24,5.56,14.49,33.65,20.14,22.46,45.03,45.87,82.75,251.29,68.76,72.15,16.79,45.89,42.46,296.54,26.26,1.47,10.0
2023-01-19,0.9407,83.47,10.41,16.68,10.54,9.03,196.05,18.94,91.63,8.39,236.3,3.1,17.09,37.0,5.51,3.82,2.82,41.63,12.04,10.18,36.62,75.98,18.47,12.32,21.82,17.32,37.62,6.89,1.95,26.8,10.1,193.77,56.56,61.3,19.0,124.14,35.55,4.085,274.5,4.39,5.49,23.4,21.23,67.25,68.75,30.29,27.3,5.64,23.42,10.71,37.46,55.72,12.78,14.27,8.51,55.8,66.15,197.29,10.12,50.63,89.17,131.84,31.15,101.15,46.46,1.18,34.38,5.73,9.63,34.93,475.3721,23.68,117.39,14.46,14.15,85.11,57.08,77.35,12.81,8.44,21.29,33.55,11.42,16.05,12.84,82.71,11.15,5.09,17.2,53.63,106.42,10.52,1.36,21.58,40.63,2.82,42.04,16.53,9.09,33.186,105.51,18.64,146.43,32.85,32.95,140.95,22.74,70.38,23.62,20.9,135.08,23.88,100.59,16.37,63.94,1.94,55.55,10.02,23.98,51.6313,28.36,28.75,9.21,16.37,30.09,12.09,24.21,47.45,12.49,7.44,14.63,49.88,80.22,39.49,9.49,31.07,475.13,4.05,59.13,19.75,40.58,111.26,110.58,106.22,100.11,21.65,184.83,147.29,176.84,85.62,49.16,49.91,14.3333,99.35,6.02,12.67,238.26,2.2799,10.23,55.01,61.37,10.77,220.44,6.34,165.43,29.5261,30.9205,2.35,228.84,10.33,70.55,13.02,383.29,6.34,5.82,79.82,61.4475,36.26,19.51,61.65,109.97,41.98,33.67,8.75,88.03,89.86,18.71,49.18,127.97,51.37,72.47,17.8,11.29,12.96,63.6,15.11,5.83,8.53,30.02,38.12,86.91,0.92,58.94,21.935,9.49,81.97,25.73,14.11,6.62,25.22,7.34,127.57,10.83,14.07,82.84,21.6,1.88,98.79,13.65,13.03,1.37,15.2,63.46,0.8711,39.21,7.44,29.69,25.71,115.75,3.58,33.69,38.18,92.81,6.87,59.66,294.45,13.03,42.02,16.43,132.0,29.65,17.42,65.11,5.79,19.52,2.8,3.16,26.74,32.5,18.43,2.22,1.25,31.01,50.65,52.07,75.29,55.59,69.53,6.68,58.19,40.38,99.92,28.0,13.7,80.79,38.38,93.85,8.36,0.9301,48.1,14.72,17.88,25.7,29.99,21.79,54.2,32.88,146.49,16.7,21.22,22.12,25.75,82.85,8.28,141.61,20.82,2.2,5.45,14.8,33.95,21.2,22.17,44.49,45.18,84.77,251.72,68.0,70.22,16.54,46.42,41.81,287.72,25.63,1.46,9.68
2023-01-20,0.9683,84.62,10.83,16.65,10.48,9.2,205.9,18.36,92.17,8.4,243.01,3.15,17.11,36.67,5.33,3.84,2.85,42.02,12.42,10.94,38.61,79.29,18.82,12.92,22.23,17.19,38.56,7.26,1.9,27.24,10.3,196.55,55.75,64.43,19.14,125.72,36.53,4.18,266.42,4.42,5.77,24.01,22.03,68.83,70.65,30.66,28.0,5.405,24.02,10.25,39.01,54.67,12.87,14.27,8.66,55.73,67.66,198.76,10.64,51.58,89.52,131.72,31.75,102.73,46.61,1.26,34.77,5.81,9.88,35.41,480.5311,23.93,116.81,15.0,14.41,86.29,57.82,79.58,14.18,9.05,21.5,33.94,11.44,16.49,12.89,84.58,11.3,5.1,17.66,54.13,108.98,11.05,1.52,21.87,41.34,2.84,42.34,16.73,9.47,33.872,106.73,18.88,147.55,33.93,33.08,144.65,22.93,73.09,24.24,22.54,137.83,24.9,101.16,16.75,66.77,2.05,56.45,10.09,25.11,51.9598,28.77,28.99,9.43,16.59,31.06,12.28,24.55,48.19,13.41,7.55,14.55,49.5,80.86,39.7,9.9,31.97,488.88,3.96,58.82,20.88,40.76,111.21,113.02,107.6,99.9,21.7,189.1,144.25,178.86,85.26,49.73,50.55,14.6219,100.12,6.13,12.72,243.82,2.39,10.7,55.96,62.95,11.09,224.3,6.33,168.33,29.4747,30.967,2.45,229.14,10.54,70.71,13.21,397.78,6.47,6.4,80.64,66.375,36.97,20.35,62.39,111.36,42.47,35.38,8.89,88.49,92.7,19.26,50.5,129.17,53.26,73.48,18.02,11.29,13.04,65.09,15.21,5.87,9.3,31.25,38.08,87.96,0.98,62.56,22.51,10.2,84.65,26.01,14.17,6.63,25.06,7.48,129.95,10.8,14.4,80.39,22.48,2.01,102.39,14.29,12.98,1.53,15.24,64.35,0.8929,41.1,8.3,29.32,26.14,115.73,3.73,35.35,38.33,93.66,7.08,60.59,296.81,13.19,43.0,16.5,131.49,30.51,17.57,65.93,5.84,19.59,3.07,3.47,27.21,32.94,18.63,2.3,1.42,31.06,46.61,52.82,77.54,56.27,70.63,6.91,59.34,40.31,103.06,28.39,14.46,81.46,40.5,97.53,8.4,0.95,51.78,14.98,17.93,25.94,30.43,22.67,55.79,33.28,151.91,17.14,21.35,21.81,27.03,85.13,8.4,146.87,21.59,2.3014,5.63,15.04,34.15,22.02,22.48,45.11,46.03,87.23,253.05,68.55,71.61,17.01,45.56,43.16,297.03,25.89,1.4899,10.0
2023-01-21,1.02,84.52,11.75,16.59,10.86,9.4,211.29,18.33,92.66,8.44,251.38,3.16,17.64,38.02,5.45,4.16,2.88,42.98,12.08,11.98,40.67,81.43,18.88,13.92,23.25,17.11,39.29,7.44,1.89,27.32,10.47,199.17,57.09,63.32,19.1,129.76,37.49,4.24,269.0,4.405,6.32,24.33,21.4,69.04,73.03,30.5,27.77,5.92,25.21,11.01,40.93,54.92,12.9,14.42,8.8,55.37,66.64,199.97,10.63,53.45,89.37,129.03,31.43,105.19,46.59,1.28,35.01,6.0,10.4,36.33,489.3481,24.17,119.62,15.67,15.21,89.29,58.13,80.0,14.69,9.5,22.32,35.04,11.97,16.29,12.91,86.38,11.58,5.054,17.74,54.61,110.74,11.03,1.5,21.85,41.22,2.93,41.82,17.02,9.8,34.374,108.83,19.63,149.35,33.83,32.92,147.77,22.54,74.8,24.42,24.91,140.37,25.66,104.49,16.34,69.52,2.15,58.66,10.16,26.89,51.5418,29.27,29.46,9.33,16.63,31.04,12.25,24.61,49.32,13.73,7.7,14.49,49.07,81.28,39.27,9.83,33.31,496.14,3.97,58.78,21.31,39.42,110.38,113.79,111.06,100.18,21.03,193.62,144.6,180.46,85.8,52.55,51.35,14.6508,102.39,6.44,12.94,251.52,2.41,10.78,57.24,64.21,11.33,226.95,6.33,171.69,29.5115,30.9902,2.49,239.52,10.45,70.23,13.45,428.51,6.91,6.53,82.23,67.8825,39.81,21.41,62.49,108.75,42.36,36.33,9.26,88.01,96.48,19.55,50.57,132.92,53.9,75.0,18.16,11.33,13.21,66.99,15.49,5.96,9.36,31.05,38.99,89.34,1.05,65.47,30.28,10.71,86.55,26.17,14.46,6.86,25.54,7.58,134.98,10.97,14.94,83.31,22.37,2.25,109.43,14.71,13.32,1.52,15.37,65.44,0.8991,42.61,8.84,29.31,26.26,115.78,3.72,36.42,38.35,94.74,7.1,60.12,286.27,13.31,43.09,16.48,133.49,31.58,17.55,67.12,5.88,20.05,3.17,3.42,27.12,33.01,18.41,2.35,1.47,31.13,48.28,53.35,77.62,58.55,72.6,6.89,63.23,41.18,109.61,27.55,15.56,82.29,41.26,103.5,8.28,0.9286,53.7,14.93,17.46,26.15,30.31,22.96,56.84,33.22,154.0,17.14,21.65,22.27,28.74,86.57,8.24,148.05,22.6,2.2843,5.62,15.49,34.87,22.28,22.35,45.96,46.15,88.76,253.6,68.01,73.56,17.05,45.21,44.42,317.76,27.0,1.5,9.41
2023-01-22,1.02,84.52,11.75,16.59,10.86,9.4,211.29,18.33,92.66,8.44,251.38,3.16,17.64,38.02,5.45,4.16,2.88,42.98,12.08,11.98,40.67,81.43,18.88,13.92,23.25,17.11,39.29,7.44,1.89,27.32,10.47,199.17,57.09,63.32,19.1,129.76,37.49,4.24,269.0,4.405,6.32,24.33,21.4,69.04,73.03,30.5,27.77,5.92,25.21,11.01,40.93,54.92,12.9,14.42,8.8,55.37,66.64,199.97,10.63,53.45,89.37,129.03,31.43,105.19,46.59,1.28,35.01,6.0,10.4,36.33,489.3481,24.17,119.62,15.67,15.21,89.29,58.13,80.0,14.69,9.5,22.32,35.04,11.97,16.29,12.91,86.38,11.58,5.054,17.74,54.61,110.74,11.03,1.5,21.85,41.22,2.93,41.82,17.02,9.8,34.374,108.83,19.63,149.35,33.83,32.92,147.77,22.54,74.8,24.42,24.91,140.37,25.66,104.49,16.34,69.52,2.15,58.66,10.16,26.89,51.5418,29.27,29.46,9.33,16.63,31.04,12.25,24.61,49.32,13.73,7.7,14.49,49.07,81.28,39.27,9.83,33.31,496.14,3.97,58.78,21.31,39.42,110.38,113.79,111.06,100.18,21.03,193.62,144.6,180.46,85.8,52.55,51.35,14.6508,102.39,6.44,12.94,251.52,2.41,10.78,57.24,64.21,11.33,226.95,6.33,171.69,29.5115,30.9902,2.49,239.52,10.45,70.23,13.45,428.51,6.91,6.53,82.23,67.8825,39.81,21.41,62.49,108.75,42.36,36.33,9.26,88.01,96.48,19.55,50.57,132.92,53.9,75.0,18.16,11.33,13.21,66.99,15.49,5.96,9.36,31.05,38.99,89.34,1.05,65.47,30.28,10.71,86.55,26.17,14.46,6.86,25.54,7.58,134.98,10.97,14.94,83.31,22.37,2.25,109.43,14.71,13.32,1.52,15.37,65.44,0.8991,42.61,8.84,29.31,26.26,115.78,3.72,36.42,38.35,94.74,7.1,60.12,286.27,13.31,43.09,16.48,133.49,31.58,17.55,67.12,5.88,20.05,3.17,3.42,27.12,33.01,18.41,2.35,1.47,31.13,48.28,53.35,77.62,58.55,72.6,6.89,63.23,41.18,109.61,27.55,15.56,82.29,41.26,103.5,8.28,0.9286,53.7,14.93,17.46,26.15,30.31,22.96,56.84,33.22,154.0,17.14,21.65,22.27,28.74,86.57,8.24,148.05,22.6,2.2843,5.62,15.49,34.87,22.28,22.35,45.96,46.15,88.76,253.6,68.01,73.56,17.05,45.21,44.42,317.76,27.0,1.5,9.41
2023-01-23,1.02,84.52,11.75,16.59,10.86,9.4,211.29,18.33,92.66,8.44,251.38,3.16,17.64,38.02,5.45,4.16,2.88,42.98,12.08,11.98,40.67,81.43,18.88,13.92,23.25,17.11,39.29,7.44,1.89,27.32,10.47,199.17,57.09,63.32,19.1,129.76,37.49,4.24,269.0,4.405,6.32,24.33,21.4,69.04,73.03,30.5,27.77,5.92,25.21,11.01,40.93,54.92,12.9,14.42,8.8,55.37,66.64,199.97,10.63,53.45,89.37,129.03,31.43,105.19,46.59,1.28,35.01,6.0,10.4,36.33,489.3481,24.17,119.62,15.67,15.21,89.29,58.13,80.0,14.69,9.5,22.32,35.04,11.97,16.29,12.91,86.38,11.58,5.054,17.74,54.61,110.74,11.03,1.5,21.85,41.22,2.93,41.82,17.02,9.8,34.374,108.83,19.63,149.35,33.83,32.92,147.77,22.54,74.8,24.42,24.91,140.37,25.66,104.49,16.34,69.52,2.15,58.66,10.16,26.89,51.5418,29.27,29.46,9.33,16.63,31.04,12.25,24.61,49.32,13.73,7.7,14.49,49.07,81.28,39.27,9.83,33.31,496.14,3.97,58.78,21.31,39.42,110.38,113.79,111.06,100.18,21.03,193.62,144.6,180.46,85.8,52.55,51.35,14.6508,102.39,6.44,12.94,251.52,2.41,10.78,57.24,64.21,11.33,226.95,6.33,171.69,29.5115,30.9902,2.49,239.52,10.45,70.23,13.45,428.51,6.91,6.53,82.23,67.8825,39.81,21.41,62.49,108.75,42.36,36.33,9.26,88.01,96.48,19.55,50.57,132.92,53.9,75.0,18.16,11.33,13.21,66.99,15.49,5.96,9.36,31.05,38.99,89.34,1.05,65.47,30.28,10.71,86.55,26.17,14.46,6.86,25.54,7.58,134.98,10.97,14.94,83.31,22.37,2.25,109.43,14.71,13.32,1.52,15.37,65.44,0.8991,42.61,8.84,29.31,26.26,115.78,3.72,36.42,38.35,94.74,7.1,60.12,286.27,13.31,43.09,16.48,133.49,31.58,17.55,67.12,5.88,20.05,3.17,3.42,27.12,33.01,18.41,2.35,1.47,31.13,48.28,53.35,77.62,58.55,72.6,6.89,63.23,41.18,109.61,27.55,15.56,82.29,41.26,103.5,8.28,0.9286,53.7,14.93,17.46,26.15,30.31,22.96,56.84,33.22,154.0,17.14,21.65,22.27,28.74,86.57,8.24,148.05,22.6,2.2843,5.62,15.49,34.87,22.28,22.35,45.96,46.15,88.76,253.6,68.01,73.56,17.05,45.21,44.42,317.76,27.0,1.5,9.41
2023-01-24,1.01,84.06,11.63,16.4,10.79,8.99,206.43,18.42,92.7,8.57,252.63,3.12,17.54,38.81,5.36,4.06,2.89,43.53,12.14,11.9,40.31,82.1,19.72,13.83,24.04,17.5,40.47,7.38,1.91,27.27,10.72,198.25,56.89,63.35,19.01,130.18,37.2,4.2,266.75,4.28,6.23,24.43,20.43,68.34,71.19,29.9,27.78,5.88,25.13,11.75,37.65,53.73,12.81,14.66,8.87,55.25,66.64,197.14,11.04,52.84,93.55,128.1,30.97,105.5,46.52,1.21,34.8,6.0,10.47,36.39,494.517,22.77,121.77,17.08,15.14,89.07,58.54,80.8,14.22,9.3,21.37,34.53,11.71,16.4,13.01,85.32,11.68,5.098,17.71,54.53,111.6,10.79,1.39,21.45,41.26,2.84,41.51,17.36,9.82,34.442,108.35,19.31,147.24,33.73,32.71,146.47,22.05,75.19,24.54,23.1,140.72,25.77,104.91,16.08,69.6,2.11,59.01,10.08,25.53,51.92,28.98,28.87,9.07,16.56,31.13,11.89,24.54,49.45,12.31,7.67,14.35,49.66,80.75,39.35,10.03,33.1,486.7,3.93,59.94,21.59,40.07,109.87,114.22,110.98,99.4,22.19,191.88,150.15,178.43,85.17,51.39,55.3,14.4776,101.16,6.21,12.86,253.39,2.42,11.23,57.41,63.38,11.53,230.91,6.14,171.07,29.4159,30.9437,2.43,233.14,10.56,69.82,13.1,419.13,6.76,6.63,82.91,66.0825,39.02,20.97,62.01,108.66,37.6,36.93,8.82,87.66,94.7,19.53,50.28,130.89,53.47,76.18,17.03,10.84,13.27,67.7,15.45,5.85,8.68,31.72,38.45,89.77,1.01,65.57,32.94,10.56,84.58,25.98,14.65,7.04,24.82,7.57,133.62,11.12,14.7,83.07,22.38,2.23,108.11,14.45,13.5,1.41,15.28,65.88,0.8704,42.94,8.29,29.46,26.31,117.72,3.71,34.58,38.26,95.1,6.97,60.63,287.41,13.24,43.24,16.52,136.85,31.21,17.45,67.66,5.79,19.79,3.04,3.31,27.34,31.45,18.37,2.33,1.44,30.63,48.41,52.82,76.16,57.58,68.88,6.86,62.23,41.41,107.31,28.09,15.735,80.15,39.15,103.02,8.62,0.9551,53.1,14.78,17.4,25.95,30.19,22.74,56.28,33.02,152.62,16.86,21.73,22.13,28.74,85.35,8.0,144.3,22.49,2.28,5.45,15.48,36.71,22.3,22.09,45.77,46.92,88.06,252.74,68.34,74.85,17.28,45.44,44.62,310.08,26.73,1.48,9.82
2023-01-25,0.9812,84.24,11.59,16.77,10.95,9.38,202.5,17.93,92.35,8.8,252.08,3.17,17.54,39.33,5.24,4.16,2.84,43.6,12.17,11.82,40.57,80.85,20.02,13.54,22.75,17.6,42.09,7.4,1.87,27.19,10.79,194.27,55.93,62.5,19.2,129.67,37.23,4.28,263.5,4.34,6.43,24.3,20.71,66.16,72.34,28.95,28.15,5.36,25.25,11.12,37.97,53.99,12.8,14.78,8.87,56.04,67.09,192.12,11.04,53.14,91.4,128.44,32.0,105.17,46.5,1.2,35.11,6.04,10.62,36.91,499.0199,23.38,122.24,17.46,15.54,88.84,58.66,81.04,14.67,9.49,21.6551,34.66,11.72,16.01,12.94,85.82,11.81,5.076,17.52,54.82,113.6,11.04,1.36,21.81,44.75,2.86,41.42,17.33,9.76,34.214,107.75,16.5,147.08,33.75,32.44,145.49,22.12,77.51,24.36,22.26,142.89,25.92,105.42,15.96,68.71,2.12,58.7,10.09,25.72,52.1888,28.74,29.48,9.08,16.59,32.07,12.11,22.89,48.96,11.62,7.83,14.33,49.68,83.75,39.29,10.05,33.95,485.18,3.98,59.62,21.59,39.75,109.92,113.88,110.34,96.41,22.62,188.61,151.93,178.92,88.08,52.59,57.83,14.391,101.63,6.18,13.13,249.84,2.49,11.43,57.6,64.44,11.7,231.94,6.25,169.42,29.5923,31.1219,2.36,228.32,10.48,70.2,12.69,424.69,6.83,6.56,85.58,78.4125,39.86,20.51,63.79,108.8,37.08,37.13,8.9,90.16,94.58,20.64,51.19,131.42,54.27,75.23,16.99,11.64,13.28,68.0,15.41,5.81,8.38,32.43,37.65,90.69,1.0,69.06,34.65,10.4,84.62,25.56,14.8,6.9,25.36,7.53,134.09,10.97,14.73,86.1,23.03,2.27,110.11,14.52,13.65,1.47,15.49,65.94,0.8499,43.34,8.25,29.89,27.32,120.2,3.73,34.96,38.72,96.53,6.93,61.09,291.65,13.15,43.37,16.51,138.01,30.2,17.37,67.43,5.91,19.86,3.2,3.3,26.53,31.18,18.5,2.29,1.46,31.49,47.6,53.07,76.49,57.92,69.42,6.88,62.25,41.04,109.42,30.22,15.45,79.83,38.5,103.44,8.29,0.95,51.92,14.68,17.35,25.77,30.16,22.98,56.57,28.55,153.72,16.73,21.4,22.47,27.98,87.99,7.99,143.21,22.0,2.33,5.45,15.75,36.21,21.95,22.06,46.19,47.12,88.91,253.57,68.56,75.5,17.42,45.76,42.25,310.57,26.19,1.48,9.78
2023-01-26,0.97,84.34,12.54,16.82,11.33,9.21,208.46,18.76,92.99,8.97,262.95,3.28,17.71,39.19,5.33,4.19,2.85,43.53,12.24,11.9,41.26,80.64,20.0,13.35,21.52,18.0,42.51,7.76,1.82,27.28,10.52,189.79,56.4,62.98,19.04,129.37,37.0,4.39,261.63,4.39,6.24,24.52,21.54,65.69,71.89,29.22,27.3,5.24,26.03,10.45,38.8,54.79,12.8,14.72,9.15,55.75,68.05,194.3,11.2,53.1,91.08,129.43,32.43,105.79,45.83,1.2,35.69,6.01,10.72,36.81,503.25,22.94,122.04,17.49,15.8,90.08,60.9,79.91,14.73,9.89,21.96,34.74,11.77,16.17,13.16,87.46,11.78,5.1,17.59,54.95,112.59,10.5,1.27,21.27,44.0,2.87,41.6,17.71,9.97,34.378,108.21,17.57,149.89,33.42,32.42,147.81,22.2,78.48,23.93,21.175,141.3,26.68,104.6,15.71,69.22,2.1,60.14,10.07,26.74,52.6467,29.19,29.51,9.1,16.5,31.14,12.22,23.05,50.18,12.18,8.06,14.81,48.82,85.51,38.75,10.36,34.3,487.0,3.96,60.67,21.46,39.38,110.98,112.61,110.87,97.23,22.25,188.72,150.43,181.31,89.18,52.8,57.83,14.6123,104.21,6.35,12.85,252.98,2.45,10.92,57.59,65.15,11.7,232.24,6.33,169.31,29.8935,31.4161,2.42,227.74,10.32,70.57,13.58,432.76,7.04,6.47,86.06,71.7975,40.58,19.81,63.17,108.38,37.09,37.23,8.97,90.05,94.73,20.72,51.47,132.11,53.73,76.09,17.14,11.99,13.46,68.21,15.5,5.88,8.2,32.45,38.54,92.26,0.9805,67.88,36.26,10.31,86.51,25.18,14.68,6.61,25.15,7.52,135.77,11.16,15.1,87.28,23.55,2.58,112.53,14.46,13.81,1.59,15.47,66.05,0.8087,44.62,9.01,29.84,27.19,120.71,3.75,36.5,38.71,95.61,7.08,57.7,291.08,13.27,43.52,16.77,139.69,30.94,17.38,67.96,5.9,20.0,3.12,3.46,26.42,31.79,18.55,2.23,1.55,31.46,47.84,52.49,77.27,58.34,69.92,6.89,69.01,41.06,112.02,30.07,14.7,80.32,40.5,103.67,8.05,0.9499,53.98,14.51,16.98,25.25,30.03,23.08,57.21,28.21,153.8,15.55,21.83,22.45,27.96,87.71,8.4,144.28,22.01,2.49,5.47,15.61,38.0,25.02,21.83,45.81,47.5,90.5,253.5,68.8,75.79,17.17,45.55,43.73,311.27,27.5,1.48,9.75
