,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,ACB,ACHC,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMCX,AMRK,AMSC,AMTX,ANGI,ANIP,APEI,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,AZTA,BANR
1,ACB,ACHC,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMCX,AMRK,AMSC,AMTX,ANGI,ANIP,APEI,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,AZTA,BANR
2,ACB,ACHC,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMCX,AMRK,AMSC,AMTX,ANGI,ANIP,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,ACRS,ADPT,ALEC
3,ACB,ACHC,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMCX,AMRK,AMSC,AMTX,ANGI,ANIP,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,ACRS,ALEC,AZTA
4,ACB,ACHC,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMCX,AMRK,AMSC,ANGI,ANIP,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,ACRS,AZTA,BANR,BCML
5,ACB,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMRK,AMSC,ANGI,ANIP,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,ACRS,AZTA,BANR,BCML,BCPC,BELFB
6,ACB,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMRK,AMSC,ANGI,ANIP,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,ACRS,AZTA,BANR,BCML,BCPC,BELFB
7,ACB,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,ALTO,AMRK,AMSC,ANGI,ANIP,APP,APPN,ARCB,ARCT,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,ACRS,AZTA,BANR,BCML,APEI,AVTA
8,ACB,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,AMRK,AMSC,ANGI,ANIP,APP,APPN,ARCB,ARHS,ARRY,ASLE,ASTE,ASTL,ATAI,AVXL,AZPN,BANR,BCML,APEI,ADPT,BCPC,BELFB,BGNE,BLDP
9,ACB,ACMR,ADEA,ADSK,ADTN,AEP,ALGN,AMRK,AMSC,ANGI,ANIP,APP,ARCB,ARHS,ARRY,ASTE,ASTL,ATAI,AVXL,AZPN,BANR,BCML,ADPT,BCPC,BELFB,BGNE,ALEC,AMTX,BGC,BLDE
